dataset,attack,defense,poison_rate,trigger_type,trigger_size,metric,value
CIFAR10,BadNets,None,0.01,patch,4x4,ASR,96.3
CIFAR10,BadNets,None,0.01,patch,4x4,ACC,91.2
CIFAR10,BadNets,None,0.05,patch,4x4,ASR,98.1
CIFAR10,BadNets,None,0.05,patch,4x4,ACC,89.7
CIFAR10,BadNets,None,0.10,patch,4x4,ASR,99.2
CIFAR10,BadNets,None,0.10,patch,4x4,ACC,87.3
CIFAR10,Blend,None,0.01,blend,full,ASR,94.7
CIFAR10,Blend,None,0.01,blend,full,ACC,92.1
CIFAR10,Blend,None,0.05,blend,full,ASR,97.2
CIFAR10,Blend,None,0.05,blend,full,ACC,90.5
CIFAR10,SIG,None,0.01,sinusoidal,full,ASR,95.8
CIFAR10,SIG,None,0.01,sinusoidal,full,ACC,91.8
CIFAR10,WaNet,None,0.01,warping,full,ASR,93.4
CIFAR10,WaNet,None,0.01,warping,full,ACC,92.5
CIFAR10,Ours,None,0.01,invisible,full,ASR,98.7
CIFAR10,Ours,None,0.01,invisible,full,ACC,92.1
CIFAR10,Ours,None,0.05,invisible,full,ASR,99.4
CIFAR10,Ours,None,0.05,invisible,full,ACC,91.3
CIFAR10,Ours,None,0.10,invisible,full,ASR,99.8
CIFAR10,Ours,None,0.10,invisible,full,ACC,89.9
