scenario,selection,defense,category,test_acc,test_asr,TPR,FPR,source_file
badnet_C_p0.03,forget,abl,model_repair,0.493,0.026222222222222223,,,2025_07_28_17_31_25.log
badnet_C_p0.03,forget,ac,sample_filter,0.8934,0.6565555555555556,,,2025_07_28_17_31_25.log
badnet_C_p0.03,forget,fp,model_repair,0.9203,0.37766666666666665,,,2025_07_28_17_31_19.log
badnet_C_p0.03,forget,fst,model_repair,0.9232,0.7026666666666667,,,log.txt
badnet_C_p0.03,forget,i-bau,model_repair,0.8798,0.26066666666666666,,,2025_07_28_17_31_25.log
badnet_C_p0.03,forget,nc,model_repair,0.9132,0.010333333333333333,,,2025_07_28_17_31_25.log
badnet_C_p0.03,forget,rnp,model_repair,0.62,0.8822222222222222,,,2025_07_28_17_51_51.log
badnet_C_p0.03,forget,scan,sample_filter,,,0.9946666666666667,0.0,detection_info.csv
badnet_C_p0.03,forget,strip,sample_filter,,,0.438,0.084,detection_info.csv
badnet_C_p0.03,random,abl,model_repair,0.4382,0.05511111111111111,,,2025_07_28_17_31_24.log
badnet_C_p0.03,random,ac,sample_filter,0.8999,0.2837777777777778,,,2025_07_28_17_31_25.log
badnet_C_p0.03,random,fp,model_repair,0.9234,0.2892222222222222,,,2025_07_28_17_31_20.log
badnet_C_p0.03,random,fst,model_repair,0.9278,0.5035555555555555,,,log.txt
badnet_C_p0.03,random,i-bau,model_repair,0.8983,0.07422222222222222,,,2025_07_28_17_31_25.log
badnet_C_p0.03,random,nc,model_repair,0.9158,0.010777777777777778,,,2025_07_28_17_31_25.log
badnet_C_p0.03,random,rnp,model_repair,0.4309,0.24055555555555555,,,2025_07_28_17_51_51.log
badnet_C_p0.03,random,scan,sample_filter,,,0.99,0.0,detection_info.csv
badnet_C_p0.03,random,strip,sample_filter,,,0.12166666666666667,0.083,detection_info.csv
badnet_C_p0.03,res_linear,abl,model_repair,0.5351,0.0,,,2025_07_28_17_31_25.log
badnet_C_p0.03,res_linear,ac,sample_filter,0.8937,0.658,,,2025_07_28_17_31_25.log
badnet_C_p0.03,res_linear,fp,model_repair,0.921,0.3641111111111111,,,2025_07_28_17_31_19.log
badnet_C_p0.03,res_linear,fst,model_repair,0.9178,0.8028888888888889,,,log.txt
badnet_C_p0.03,res_linear,i-bau,model_repair,0.8864,0.07422222222222222,,,2025_07_28_17_43_46.log
badnet_C_p0.03,res_linear,nc,model_repair,0.9085,0.013333333333333334,,,2025_07_28_17_31_25.log
badnet_C_p0.03,res_linear,rnp,model_repair,0.6031,0.4761111111111111,,,2025_07_28_17_51_51.log
badnet_C_p0.03,res_linear,scan,sample_filter,,,0.9966666666666667,0.0,detection_info.csv
badnet_C_p0.03,res_linear,strip,sample_filter,,,0.14922222222222223,0.078,detection_info.csv
badnet_C_p0.03,res_log,abl,model_repair,0.457,0.01611111111111111,,,2025_07_28_17_31_23.log
badnet_C_p0.03,res_log,ac,sample_filter,0.8918,0.6793333333333333,,,2025_07_28_17_31_25.log
badnet_C_p0.03,res_log,fp,model_repair,0.9227,0.5117777777777778,,,2025_07_28_17_31_19.log
badnet_C_p0.03,res_log,fst,model_repair,0.9152,0.864,,,log.txt
badnet_C_p0.03,res_log,i-bau,model_repair,0.853,0.035333333333333335,,,2025_07_28_17_43_47.log
badnet_C_p0.03,res_log,nc,model_repair,0.9092,0.011333333333333334,,,2025_07_28_17_31_25.log
badnet_C_p0.03,res_log,rnp,model_repair,0.2214,0.3022222222222222,,,2025_07_28_17_51_52.log
badnet_C_p0.03,res_log,scan,sample_filter,,,0.998,0.0,detection_info.csv
badnet_C_p0.03,res_log,strip,sample_filter,,,0.4806666666666667,0.071,detection_info.csv
badnet_C_p0.03,res_square,abl,model_repair,0.4605,0.0064444444444444445,,,2025_07_28_17_31_24.log
badnet_C_p0.03,res_square,ac,sample_filter,0.8921,0.6157777777777778,,,2025_07_28_17_31_25.log
badnet_C_p0.03,res_square,fp,model_repair,0.9227,0.5005555555555555,,,2025_07_28_17_31_19.log
badnet_C_p0.03,res_square,fst,model_repair,0.9168,0.8523333333333334,,,log.txt
badnet_C_p0.03,res_square,i-bau,model_repair,0.8572,0.14844444444444443,,,2025_07_28_17_31_24.log
badnet_C_p0.03,res_square,nc,model_repair,0.9297,0.812,,,2025_07_28_17_51_51.log
badnet_C_p0.03,res_square,rnp,model_repair,0.18,0.00022222222222222223,,,2025_07_28_17_51_51.log
badnet_C_p0.03,res_square,scan,sample_filter,,,0.998,0.0,detection_info.csv
badnet_C_p0.03,res_square,strip,sample_filter,,,0.5576666666666666,0.077,detection_info.csv
badnet_C_p0.03,stealth,abl,model_repair,0.5775,0.002,,,2025_07_28_17_31_25.log
badnet_C_p0.03,stealth,ac,sample_filter,0.8957,0.5183333333333333,,,2025_07_28_17_31_25.log
badnet_C_p0.03,stealth,fp,model_repair,0.9281,0.25866666666666666,,,2025_07_28_17_31_19.log
badnet_C_p0.03,stealth,fst,model_repair,0.9241,0.3721111111111111,,,log.txt
