tag,dataset,arm,seed,asr,ba,strip_auc,strip_tpr5,nc_anom_idx,nc_l1_target,nc_l1_median,fp90_asr,fp90_ba
oodabc_gtsrb_a_seed1,gtsrb,a,seed1,52.87,99.92,0.5162,0.406,0.807,96.22,119.2,49.6,99.92
oodabc_gtsrb_a_seed2,gtsrb,a,seed2,52.33,99.9,0.6465,0.386,0.86,101.36,117.92,47.23,99.9
oodabc_gtsrb_b_seed1,gtsrb,b,seed1,66.9,99.9,0.7253,0.584,0.782,96.51,123.39,64.07,99.9
oodabc_gtsrb_b_seed2,gtsrb,b,seed2,63.63,99.92,0.5917,0.438,0.879,106.23,120.92,62.27,99.92
oodabc_gtsrb_c_seed1,gtsrb,c,seed1,4.33,99.95,0.4226,0.344,0.769,91.49,119.02,3.8,99.95
oodabc_gtsrb_c_seed2,gtsrb,c,seed2,4.93,99.95,0.483,0.4,0.846,101.67,120.13,6.1,99.95
oodabc_gtsrb_cur_seed1,gtsrb,cur,seed1,85.3,99.85,0.8839,0.768,0.76,93.75,123.37,83.43,99.85
oodabc_gtsrb_cur_seed2,gtsrb,cur,seed2,83.3,99.85,0.8943,0.776,0.771,94.19,122.2,81.53,99.85
oodabc_cifar10_a_seed1,cifar10,a,seed1,90.37,94.83,0.6017,0.002,0.281,60.03,213.65,80.93,92.63
oodabc_cifar10_a_seed2,cifar10,a,seed2,83.77,95.03,0.4855,0.008,0.287,69.57,242.0,73.0,92.71
oodabc_cifar10_b_seed1,cifar10,b,seed1,96.63,94.33,0.6515,0.0,0.396,87.7,221.53,94.8,92.7
oodabc_cifar10_c_seed1,cifar10,c,seed1,71.87,94.73,0.3883,0.024,0.288,66.65,231.35,70.2,93.72
oodabc_cifar10_c_seed2,cifar10,c,seed2,86.33,94.85,0.5128,0.014,0.359,61.57,171.72,85.07,93.1
oodabc_cifar10_cur_seed1,cifar10,cur,seed1,92.8,94.48,0.7288,0.068,0.992,200.34,201.93,90.03,93.34
oodabc_cifar100_a_seed1,cifar100,a,seed1,94.4,77.25,0.9015,0.64,0.773,173.06,224.02,97.57,46.67
oodabc_cifar100_b_seed1,cifar100,b,seed1,99.5,76.87,0.9937,0.978,0.607,138.67,228.62,99.53,44.59
oodabc_cifar100_c_seed1,cifar100,c,seed1,80.53,77.81,0.337,0.05,0.524,110.96,211.63,7.2,43.49
oodabc_cifar100_cur_seed1,cifar100,cur,seed1,99.63,77.38,0.9892,0.964,0.57,129.9,227.72,99.53,46.99
