tag,dataset,arm,conc_top16,gini,cka1_layer1,cka1_layer2,cka1_layer3,cka1_layer4,cka1_feat,aug_cons_trig,aug_cons_clean
oodabc_cifar100_a_seed1,cifar100,a,0.2653,0.4158,0.03605,0.11575,0.20487,0.60783,0.60783,0.9479,0.9518
oodabc_cifar100_b_seed1,cifar100,b,0.2526,0.3505,0.05705,0.18876,0.35538,0.88016,0.88016,0.9921,0.9534
oodabc_cifar100_c_seed1,cifar100,c,0.2591,0.4468,0.06364,0.17675,0.30744,0.67222,0.67222,0.9543,0.9532
oodabc_cifar100_cur_seed1,cifar100,cur,0.2477,0.3294,0.05003,0.18128,0.36459,0.88378,0.88378,0.9909,0.9526
oodabc_cifar10_a_seed1,cifar10,a,0.1247,0.3705,0.04544,0.17318,0.72126,0.64979,0.64979,0.9837,0.9858
oodabc_cifar10_a_seed2,cifar10,a,0.116,0.366,0.09094,0.24174,0.67945,0.59653,0.59653,0.9818,0.9868
oodabc_cifar10_b_seed1,cifar10,b,0.1141,0.3525,0.08393,0.26567,0.69268,0.75622,0.75622,0.9906,0.9856
oodabc_cifar10_c_seed1,cifar10,c,0.1252,0.3783,0.1228,0.13584,0.73249,0.54737,0.54737,0.9782,0.9859
oodabc_cifar10_c_seed2,cifar10,c,0.145,0.389,0.083,0.24814,0.77767,0.63767,0.63767,0.9877,0.9867
oodabc_cifar10_cur_seed1,cifar10,cur,0.1253,0.3744,0.05422,0.24956,0.65022,0.77861,0.77861,0.9876,0.986
oodabc_gtsrb_a_seed1,gtsrb,a,0.354,0.7272,0.0765,0.26059,0.69047,0.74424,0.74424,0.9832,0.9984
oodabc_gtsrb_a_seed1_pr0.0005,gtsrb,a,0.3219,0.7034,0.0664,0.25395,0.57675,0.69356,0.69356,0.9762,0.9984
oodabc_gtsrb_a_seed1_pr0.001,gtsrb,a,0.3197,0.6994,0.0681,0.24106,0.63343,0.72756,0.72756,0.9764,0.9986
oodabc_gtsrb_a_seed1_pr0.0025,gtsrb,a,0.3443,0.7019,0.09589,0.27199,0.61671,0.72767,0.72767,0.975,0.9982
oodabc_gtsrb_a_seed1_pr0.005,gtsrb,a,0.3416,0.7034,0.06918,0.27187,0.59091,0.71129,0.71129,0.9812,0.9988
oodabc_gtsrb_a_seed2,gtsrb,a,0.3542,0.7168,0.04851,0.23765,0.70484,0.74863,0.74863,0.9832,0.9986
oodabc_gtsrb_a_seed2_pr0.0005,gtsrb,a,0.3096,0.7035,0.0771,0.2556,0.70854,0.76958,0.76958,0.9774,0.9985
oodabc_gtsrb_a_seed2_pr0.001,gtsrb,a,0.3125,0.6751,0.07077,0.21524,0.63785,0.72593,0.72593,0.9788,0.9986
oodabc_gtsrb_a_seed2_pr0.0025,gtsrb,a,0.2948,0.701,0.05144,0.23208,0.59569,0.73261,0.73261,0.9794,0.9986
oodabc_gtsrb_a_seed2_pr0.005,gtsrb,a,0.346,0.7195,0.03259,0.25731,0.72522,0.74112,0.74112,0.979,0.9984
oodabc_gtsrb_b_seed1,gtsrb,b,0.3298,0.7327,0.09261,0.23048,0.76248,0.75987,0.75987,0.9877,0.9985
oodabc_gtsrb_b_seed2,gtsrb,b,0.3279,0.7285,0.06471,0.25994,0.7808,0.79202,0.79202,0.9825,0.9988
oodabc_gtsrb_c_seed1,gtsrb,c,0.222,0.6302,0.10721,0.17203,0.22806,0.36988,0.36988,0.9848,0.9985
oodabc_gtsrb_c_seed1_w0.05,gtsrb,c,0.2256,0.5841,0.15688,0.18012,0.249,0.31226,0.31226,0.9754,0.9984
oodabc_gtsrb_c_seed1_w0.1,gtsrb,c,0.2078,0.5899,0.14652,0.22858,0.20927,0.19833,0.19833,0.98,0.9984
oodabc_gtsrb_c_seed1_w0.15,gtsrb,c,0.2558,0.6423,0.05921,0.19808,0.26197,0.28344,0.28344,0.9781,0.9985
oodabc_gtsrb_c_seed1_w0.25,gtsrb,c,0.2171,0.6165,0.07524,0.1892,0.21905,0.28592,0.28592,0.9813,0.9985
oodabc_gtsrb_c_seed1_w0.5,gtsrb,c,0.2366,0.6182,0.09643,0.19499,0.2231,0.26089,0.26089,0.9784,0.9985
oodabc_gtsrb_c_seed2,gtsrb,c,0.2507,0.6513,0.07156,0.24917,0.27573,0.29726,0.29726,0.9781,0.9984
oodabc_gtsrb_c_seed2_w0.05,gtsrb,c,0.2525,0.6521,0.07975,0.16195,0.26411,0.38303,0.38303,0.981,0.9986
oodabc_gtsrb_c_seed2_w0.1,gtsrb,c,0.2358,0.6303,0.05916,0.19441,0.26504,0.32989,0.32989,0.9798,0.9983
oodabc_gtsrb_c_seed2_w0.15,gtsrb,c,0.2322,0.6356,0.08692,0.18049,0.23802,0.32119,0.32119,0.9789,0.9984
oodabc_gtsrb_c_seed2_w0.25,gtsrb,c,0.2309,0.6211,0.07037,0.22152,0.19383,0.18195,0.18195,0.9789,0.9984
oodabc_gtsrb_c_seed2_w0.5,gtsrb,c,0.2397,0.6447,0.15363,0.21474,0.3032,0.43519,0.43519,0.9817,0.9987
oodabc_gtsrb_c_seed3_w0.05,gtsrb,c,0.2299,0.6213,0.06445,0.16418,0.27354,0.23175,0.23174,0.9718,0.9986
oodabc_gtsrb_c_seed3_w0.1,gtsrb,c,0.2799,0.6623,0.09325,0.22397,0.28156,0.32588,0.32588,0.9789,0.9986
oodabc_gtsrb_c_seed3_w0.15,gtsrb,c,0.295,0.6937,0.11717,0.22527,0.32748,0.37933,0.37933,0.982,0.9986
oodabc_gtsrb_cur_seed1,gtsrb,cur,0.358,0.7112,0.08704,0.31245,0.87034,0.90968,0.90968,0.9941,0.9984
oodabc_gtsrb_cur_seed1_pr0.0005,gtsrb,cur,0.3631,0.7091,0.0944,0.2892,0.86699,0.89316,0.89316,0.989,0.998
oodabc_gtsrb_cur_seed1_pr0.001,gtsrb,cur,0.3523,0.7373,0.06367,0.25525,0.87261,0.89283,0.89283,0.9915,0.9984
oodabc_gtsrb_cur_seed1_pr0.005,gtsrb,cur,0.3413,0.7001,0.09596,0.31047,0.85358,0.89104,0.89104,0.9919,0.9984
oodabc_gtsrb_cur_seed2,gtsrb,cur,0.3777,0.7509,0.08646,0.25757,0.87033,0.86748,0.86748,0.993,0.9985
oodabc_gtsrb_cur_seed2_pr0.0005,gtsrb,cur,0.3183,0.7055,0.11789,0.2049,0.86966,0.84548,0.84548,0.9876,0.9986
oodabc_gtsrb_cur_seed2_pr0.001,gtsrb,cur,0.3322,0.7276,0.04462,0.2817,0.8668,0.86496,0.86496,0.9883,0.9987
oodabc_gtsrb_cur_seed2_pr0.005,gtsrb,cur,0.3501,0.7215,0.09845,0.22689,0.86245,0.85599,0.85599,0.9926,0.9988
