run,dataset,L2,seed,ASR,BA,L2_meas,SSIM,DCT,AC_AUC,SS_AUC,STRIP_TPR5,FP_ASR@0.9
gtsrb_l2_1.5_seed1,gtsrb,1.5,1,40.81,99.95,1.479,0.902,0.0164,0.585,0.646,0.082,44.3
gtsrb_l2_1.5_seed2,gtsrb,1.5,2,36.25,99.97,1.479,0.9004,0.0161,0.584,0.61,0.08,36.9
gtsrb_l2_1.5_seed3,gtsrb,1.5,3,38.8,99.95,1.479,0.9013,0.016,0.587,0.608,0.094,40.3
gtsrb_l2_2.0_seed1,gtsrb,2.0,1,52.95,99.91,1.967,0.8516,0.022,0.676,0.73,0.126,57.4
gtsrb_l2_2.0_seed2,gtsrb,2.0,2,50.71,99.92,1.967,0.8521,0.0215,0.622,0.747,0.152,53.0
gtsrb_l2_2.0_seed3,gtsrb,2.0,3,52.26,99.97,1.965,0.8529,0.0213,0.6,0.739,0.132,54.5
gtsrb_l2_2.5_seed1,gtsrb,2.5,1,56.3,99.95,2.448,0.8046,0.0274,0.637,0.688,0.228,59.3
gtsrb_l2_2.5_seed2,gtsrb,2.5,2,62.02,99.89,2.445,0.8061,0.0269,0.649,0.765,0.3,66.5
gtsrb_l2_2.5_seed3,gtsrb,2.5,3,55.97,99.92,2.445,0.8062,0.0264,0.637,0.719,0.158,55.0
gtsrb_l2_3.0_seed1,gtsrb,3.0,1,71.55,99.9,2.92,0.7598,0.032,0.685,0.797,0.39,76.9
gtsrb_l2_3.0_seed2,gtsrb,3.0,2,70.27,99.92,2.924,0.7598,0.0327,0.652,0.754,0.28,77.2
gtsrb_l2_3.0_seed3,gtsrb,3.0,3,71.42,99.92,2.919,0.763,0.0331,0.728,0.816,0.376,69.4
