attack,attack_key,selection,ASR_mean20,ASR_final,BA_mean20,BA_final,ASR_best
BadNets-C,badnets,forget,64.25,69.42,94.92,94.87,99.09
BadNets-C,badnets,gradient,43.54,55.0,94.62,94.63,99.83
BadNets-C,badnets,loss,59.01,61.14,94.8,94.86,99.6
BadNets-C,badnets,random,36.37,37.83,94.95,94.96,99.26
BadNets-C,badnets,res_exp,49.36,51.77,94.71,94.74,98.52
BadNets-C,badnets,res_linear,68.78,72.43,94.75,94.69,99.34
BadNets-C,badnets,res_log,68.78,72.43,94.75,94.69,99.34
BadNets-C,badnets,res_square,70.62,75.49,94.85,94.83,99.73
Blended-C,blend,forget,70.48,70.52,94.9,94.85,83.07
Blended-C,blend,gradient,60.22,62.19,94.49,94.43,92.41
Blended-C,blend,loss,67.28,66.97,94.61,94.68,95.09
Blended-C,blend,random,49.87,50.46,95.01,95.07,88.0
Blended-C,blend,res_exp,58.02,60.03,94.92,94.98,87.08
Blended-C,blend,res_linear,75.86,77.92,94.58,94.48,95.72
Blended-C,blend,res_log,75.86,77.92,94.58,94.48,95.72
Blended-C,blend,res_square,72.77,75.79,94.66,94.61,88.77
MultiBpp-B,quantizeB,forget,80.95,84.13,94.76,94.72,98.5
MultiBpp-B,quantizeB,gradient,58.63,63.22,94.83,94.85,99.14
MultiBpp-B,quantizeB,loss,68.14,70.99,94.87,94.91,98.7
MultiBpp-B,quantizeB,random,8.81,9.74,95.0,94.97,22.29
MultiBpp-B,quantizeB,res_exp,52.81,53.91,94.78,94.74,87.58
MultiBpp-B,quantizeB,res_linear,89.7,93.04,94.41,94.45,99.5
MultiBpp-B,quantizeB,res_log,89.7,93.04,94.41,94.45,99.5
MultiBpp-B,quantizeB,res_square,85.42,93.3,94.88,94.85,97.73
MultiBpp-RGB,quantize,forget,81.18,85.39,94.85,94.82,99.26
MultiBpp-RGB,quantize,gradient,62.26,69.92,94.71,94.65,93.96
MultiBpp-RGB,quantize,loss,72.8,75.1,94.96,94.97,96.06
MultiBpp-RGB,quantize,random,30.95,32.62,94.69,94.61,36.51
MultiBpp-RGB,quantize,res_exp,60.2,59.98,94.75,94.72,96.87
MultiBpp-RGB,quantize,res_linear,85.09,88.87,94.8,94.79,99.89
MultiBpp-RGB,quantize,res_log,85.09,88.87,94.8,94.79,99.89
MultiBpp-RGB,quantize,res_square,82.99,85.36,94.58,94.6,99.49
