selection,defense,test_asr_mean,test_acc_mean,n
random,ac,55.24,89.67,7
random,nc,42.88,93.04,7
random,fst,54.03,92.54,6
random,fp,50.61,92.36,7
random,abl,19.15,61.14,7
random,rnp,12.56,51.29,7
random,i-bau,21.4,88.63,7
forget,ac,73.64,89.44,7
forget,nc,69.39,92.79,7
forget,fst,74.12,92.08,6
forget,fp,63.12,92.26,7
forget,abl,18.67,62.01,7
forget,rnp,32.83,42.07,7
forget,i-bau,36.05,86.73,7
res_square,ac,75.13,89.19,7
res_square,nc,75.46,92.46,7
res_square,fst,76.56,91.81,6
res_square,fp,66.36,92.22,7
res_square,abl,21.75,62.09,7
res_square,rnp,24.84,44.11,7
res_square,i-bau,23.12,87.86,7
res_linear,ac,75.6,89.07,7
res_linear,nc,45.93,91.73,7
res_linear,fst,79.33,92.02,6
res_linear,fp,65.54,92.37,7
res_linear,abl,20.49,60.86,7
res_linear,rnp,13.66,39.36,7
res_linear,i-bau,23.83,88.17,7
res_log,ac,76.97,89.1,7
res_log,nc,53.02,91.8,7
res_log,fst,82.39,91.9,6
res_log,fp,68.51,92.23,7
res_log,abl,23.18,61.06,7
res_log,rnp,33.91,47.25,7
res_log,i-bau,23.47,87.02,7
stealth,ac,57.66,89.61,4
stealth,nc,63.64,93.51,4
stealth,fst,55.16,92.41,4
stealth,fp,49.74,92.4,4
stealth,abl,4.0,53.55,4
stealth,rnp,31.58,56.94,4
stealth,i-bau,18.67,88.51,4
