file_tag,L2,n_seed,ASR_mean,ASR_std,BA_mean,BA_std,SSIM_mean,SSIM_std,L2_meas_mean,L2_meas_std,AC_AUC_mean,AC_AUC_std,SS_AUC_mean,SS_AUC_std,STRIP_TPR5_mean,STRIP_TPR5_std,FP_ASR@0.9_mean,FP_ASR@0.9_std
cifar100_v6,1.5,3,99.06,0.1283,77.0933,0.1112,0.9489,0.0006,1.4747,0.0005,0.007,0.0029,0.2077,0.02,0.6027,0.1607,89.8667,8.4783
cifar100_v6,2.0,3,99.5567,0.1473,77.2533,0.324,0.9191,0.0007,1.962,0.0008,0.0063,0.0005,0.1997,0.0062,0.6167,0.2255,65.9333,46.6254
cifar100_v6,2.5,3,99.6,0.1374,76.95,0.2466,0.8877,0.0002,2.4453,0.0017,0.008,0.0008,0.2123,0.0124,0.7147,0.1109,96.3333,2.817
cifar100_v6c,1.5,3,96.83,0.5819,77.88,0.2174,0.9489,0.0006,1.4747,0.0005,0.0253,0.0017,0.2617,0.0111,0.1067,0.0458,72.4,35.6516
cifar100_v6c,2.0,3,98.4733,0.6054,77.6333,0.8279,0.9191,0.0007,1.962,0.0008,0.022,0.0067,0.2463,0.034,0.154,0.0426,97.5333,1.3888
cifar100_v6c,2.5,3,99.3733,0.1915,77.86,0.2709,0.8877,0.0002,2.4453,0.0017,0.0187,0.0073,0.2357,0.0176,0.1907,0.0399,98.5333,0.5907
cifar10_v4,0.9,3,76.0933,2.5459,94.7833,0.017,0.9808,0.0012,0.8947,0.0005,0.332,0.0312,0.438,0.012,0.0067,0.0034,73.7,5.3485
cifar10_v4,1.2,3,88.5967,0.8886,94.72,0.0589,0.967,0.0004,1.191,0.0,0.368,0.0563,0.4547,0.026,0.0027,0.0025,86.4333,0.3859
cifar10_v4,1.5,3,93.6,1.8758,94.7533,0.1292,0.9499,0.0001,1.489,0.0014,0.25,0.0286,0.4327,0.0171,0.04,0.0161,93.3333,2.3893
cifar10_v4,2.5,3,64.47,3.4459,99.9433,0.017,0.805,0.002,2.448,0.0033,0.7123,0.0364,0.787,0.0477,0.2167,0.0137,69.3,5.2561
cifar10_v4,3.0,3,71.4933,1.7514,99.91,0.0082,0.7613,0.0001,2.9197,0.0017,0.722,0.0156,0.733,0.0169,0.258,0.1069,75.3,2.5153
cifar10_v4,3.5,3,82.73,2.6705,99.8467,0.0309,0.7202,0.0037,3.388,0.0062,0.7573,0.0315,0.737,0.009,0.372,0.0707,87.5333,4.401
tiny_v7,1.5,3,92.9733,1.9678,55.0,0.1558,0.9521,0.0,1.4813,0.0005,0.0083,0.0033,0.265,0.0224,0.0373,0.0347,38.5667,13.361
tiny_v7,2.0,3,95.8467,1.2918,54.7367,0.2904,0.9274,0.0009,1.9673,0.0017,0.0043,0.0012,0.2487,0.0315,0.092,0.0384,71.0,23.9309
tiny_v7,2.5,3,94.8233,0.8784,54.5033,0.2778,0.9016,0.0023,2.4477,0.005,0.0073,0.0048,0.2477,0.018,0.12,0.0764,78.5,16.3715
