trigger,eps,eps_raw,poison_rate,ASR,BA,SSIM,L2,spec_peak,s_dprime,src
kst,8,0.0314,0.01,3.14,85.28,0.9912261575460434,0.5907902038574219,1.0000007152557373,2.7105157375335693,kst_eps0.031_pr0.01_s1_result.json
kst,8,0.0314,0.01,2.58,85.73,0.9912261575460434,0.5907902038574219,1.0000007152557373,2.7105157375335693,kst_eps0.031_pr0.01_s2_result.json
kst,8,0.0314,0.01,2.84,85.79,0.9912261575460434,0.5907902038574219,1.0000007152557373,2.7105157375335693,kst_eps0.031_pr0.01_s3_result.json
kst,8,0.03137254901960784,0.05,95.6,84.08,0.9912261575460434,0.5907902038574219,1.0000007152557373,2.7105157375335693,kst_eps0.031_pr0.05_s1_result.json
kst,12,0.047058823529411764,0.05,98.99,82.15,0.9760987669229507,1.0011562255859374,1.0000008344650269,3.8746697902679443,kst_eps0.047_pr0.05_s1_result.json
kst,16,0.0627,0.01,82.88,86.13,0.9606116235256195,1.326363623046875,1.000001072883606,4.643256187438965,kst_eps0.063_pr0.01_s1_result.json
kst,16,0.0627,0.01,92.41,86.08,0.9606116235256195,1.326363623046875,1.000001072883606,4.643256187438965,kst_eps0.063_pr0.01_s2_result.json
kst,16,0.0627,0.01,86.09,86.55,0.9606116235256195,1.326363623046875,1.000001072883606,4.643256187438965,kst_eps0.063_pr0.01_s3_result.json
kst,16,0.0627,0.05,0.0,8.2,0.9699971675872803,1.1245244140625,1.0000007152557373,0.01586388237774372,kst_eps0.063_pr0.05_s1_quick_result.json
kst,16,0.06274509803921569,0.05,99.84,84.98,0.9606116235256195,1.326363623046875,1.000001072883606,4.643256187438965,kst_eps0.063_pr0.05_s1_result.json
kst,20,0.0784313725490196,0.05,99.39,84.25,0.9395352989435196,1.709645654296875,1.0000007152557373,5.496645450592041,kst_eps0.078_pr0.05_s1_result.json
narcissus,8,0.0314,0.01,92.54,84.13,0.9463232696056366,1.6362411254882812,68.84727478027344,,narcissus_eps0.031_pr0.01_s1_result.json
narcissus,8,0.0314,0.01,97.46,86.3,0.9463232696056366,1.6362411254882812,68.84727478027344,,narcissus_eps0.031_pr0.01_s2_result.json
narcissus,8,0.0314,0.01,98.59,85.54,0.9463232696056366,1.6362411254882812,68.84727478027344,,narcissus_eps0.031_pr0.01_s3_result.json
narcissus,8,0.0314,0.05,99.81,84.58,0.9463232696056366,1.6362411254882812,68.84727478027344,,narcissus_eps0.031_pr0.05_s1_result.json
narcissus,16,0.0627,0.01,99.03,85.26,0.8484407007694245,3.2528326049804686,68.84720611572266,,narcissus_eps0.063_pr0.01_s1_result.json
narcissus,16,0.0627,0.01,99.78,86.48,0.8484407007694245,3.2528326049804686,68.84720611572266,,narcissus_eps0.063_pr0.01_s2_result.json
narcissus,16,0.0627,0.01,99.98,86.65,0.8484407007694245,3.2528326049804686,68.84720611572266,,narcissus_eps0.063_pr0.01_s3_result.json
sdt,8,0.0314,0.05,99.93,83.45,0.9389736413955688,1.719178826904297,,,sdt_eps0.031_pr0.05_s1_result.json
