kind,value,ASR_mean,ASR_std,BA_mean,BA_std
none,none,93.97,2.29,94.80,0.17
jpeg,10,10.13,0.99,42.26,0.74
jpeg,20,4.44,0.11,59.63,1.88
jpeg,30,2.73,0.13,68.21,1.56
jpeg,50,1.64,0.08,77.08,1.02
jpeg,75,13.88,12.08,85.06,0.68
jpeg,95,76.47,9.57,93.08,0.30
rot,-30,12.09,5.24,38.30,1.50
rot,-20,20.67,7.06,62.14,0.88
rot,-10,76.80,5.06,86.77,0.19
rot,-5,89.42,3.01,91.90,0.18
rot,5,90.33,3.72,91.91,0.18
rot,10,77.01,6.87,86.36,0.19
rot,20,19.59,8.96,61.70,0.69
rot,30,11.42,4.17,38.31,0.89
scale,0.6,7.49,0.98,76.57,1.00
scale,0.8,26.31,6.94,92.09,0.10
scale,1.0,93.97,2.29,94.80,0.17
scale,1.2,40.24,5.15,86.77,0.88
scale,1.5,7.35,3.20,60.65,2.91
